liquibase_state_import_system_id,system_id,display_name
STNORWES,NWAACHEN,Städteregion Aachen
STNORWES,NWBIEELD,Kreisfreie Stadt Bielefeld
STNORWES,NWBOCHUM,Kreisfreie Stadt Bochum
STNORWES,NWSTBONN,Kreisfreie Stadt Bonn
STNORWES,NWBORKEN,Kreis Borken
STNORWES,NWBOTROP,Kreisfreie Stadt Bottrop
STNORWES,NWCOEELD,Kreis Coesfeld
STNORWES,NWDORUND,Kreisfreie Stadt Dortmund
STNORWES,NWDUIURG,Kreisfreie Stadt Duisburg
STNORWES,NWDUEREN,Kreis Düren
STNORWES,NWDUEORF,Kreisfreie Stadt Düsseldorf
STNORWES,NWENNUHR,Ennepe-Ruhr-Kreis
STNORWES,NWSTESSE,Kreisfreie Stadt Essen
STNORWES,NWEUSHEN,Kreis Euskirchen
STNORWES,NWGELHEN,Kreisfreie Stadt Gelsenkirchen
STNORWES,NWGUELOH,Kreis Gütersloh
STNORWES,NWSTHAGE,Kreisfreie Stadt Hagen
STNORWES,NWSTHAMM,Kreisfreie Stadt Hamm
STNORWES,NWHEIERG,Kreis Heinsberg
STNORWES,NWHERORD,Kreis Herford
STNORWES,NWSTHERN,Kreisfreie Stadt Herne
STNORWES,NWHOCEIS,Hochsauerlandkreis
STNORWES,NWHOETER,Kreis Höxter
STNORWES,NWKREKLE,Kreis Kleve
STNORWES,NWSTKOEL,Kreisfreie Stadt Köln
STNORWES,NWKREELD,Kreisfreie Stadt Krefeld
STNORWES,NWLEVSEN,Kreisfreie Stadt Leverkusen
STNORWES,NWKRLIPP,Kreis Lippe
STNORWES,NWMAEHER,Märkischer Kreis
STNORWES,NWMETANN,Kreis Mettmann
STNORWES,NWMINCKE,Kreis Minden-Lübbecke
STNORWES,NWMOEACH,Kreisfreie Stadt Mönchengladbach
STNORWES,NWMUEUHR,Kreisfreie Stadt Mülheim an der Ruhr
STNORWES,NWMUETER,Kreisfreie Stadt Münster
STNORWES,NWOBEHER,Oberbergischer Kreis
STNORWES,NWOBESEN,Kreisfreie Stadt Oberhausen
STNORWES,NWKROLPE,Kreis Olpe
STNORWES,NWPADORN,Kreis Paderborn
STNORWES,NWRECSEN,Kreis Recklingshausen
STNORWES,NWREMEID,Kreisfreie Stadt Remscheid
STNORWES,NWKRERFT,Rhein-Erft-Kreis
STNORWES,NWKRRHEI,Rheinisch-Bergischer Kreis
STNORWES,NWKRNEUS,Rhein-Kreis Neuss
STNORWES,NWKRSIEG,Rhein-Sieg-Kreis
STNORWES,NWSIEEIN,Kreis Siegen-Wittgenstein
STNORWES,NWKRSOES,Kreis Soest
STNORWES,NWSOLING,Kreisfreie Stadt Solingen
STNORWES,NWSTEINF,Kreis Steinfurt
STNORWES,NWKRUNNA,Kreis Unna
STNORWES,NWVIERSE,Kreis Viersen
STNORWES,NWWAREND,Kreis Warendorf
STNORWES,NWKRWESE,Kreis Wesel
STNORWES,NWWUPPER,Kreisfreie Stadt Wuppertal
