liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date

HUECKTWO,HUEREGRA,2024-01-02
HUECKTWO,HUEREGRA,2024-01-29
HUECKTWO,HUEREGRA,2024-02-26
HUECKTWO,HUEREGRA,2024-03-25
HUECKTWO,HUEREGRA,2024-04-22
HUECKTWO,HUEREGRA,2024-05-21
HUECKTWO,HUEREGRA,2024-06-17
HUECKTWO,HUEREGRA,2024-07-15
HUECKTWO,HUEREGRA,2024-08-12
HUECKTWO,HUEREGRA,2024-09-09
HUECKTWO,HUEREGRA,2024-10-07
HUECKTWO,HUEREGRA,2024-11-04
HUECKTWO,HUEREGRA,2024-12-02
HUECKTWO,HUEREGRA,2024-12-30

HUECKONE,HUEREGRA,2024-01-02
HUECKONE,HUEREGRA,2024-01-29
HUECKONE,HUEREGRA,2024-02-26
HUECKONE,HUEREGRA,2024-03-25
HUECKONE,HUEREGRA,2024-04-22
HUECKONE,HUEREGRA,2024-05-21
HUECKONE,HUEREGRA,2024-06-17
HUECKONE,HUEREGRA,2024-07-15
HUECKONE,HUEREGRA,2024-08-12
HUECKONE,HUEREGRA,2024-09-09
HUECKONE,HUEREGRA,2024-10-07
HUECKONE,HUEREGRA,2024-11-04
HUECKONE,HUEREGRA,2024-12-02
HUECKONE,HUEREGRA,2024-12-30

HUECKTHR,HUEREGRA,2024-01-02
HUECKTHR,HUEREGRA,2024-01-29
HUECKTHR,HUEREGRA,2024-02-26
HUECKTHR,HUEREGRA,2024-03-25
HUECKTHR,HUEREGRA,2024-04-22
HUECKTHR,HUEREGRA,2024-05-21
HUECKTHR,HUEREGRA,2024-06-17
HUECKTHR,HUEREGRA,2024-07-15
HUECKTHR,HUEREGRA,2024-08-12
HUECKTHR,HUEREGRA,2024-09-09
HUECKTHR,HUEREGRA,2024-10-07
HUECKTHR,HUEREGRA,2024-11-04
HUECKTHR,HUEREGRA,2024-12-02
HUECKTHR,HUEREGRA,2024-12-30

HUECKFOU,HUEREGRA,2024-01-02
HUECKFOU,HUEREGRA,2024-01-29
HUECKFOU,HUEREGRA,2024-02-26
HUECKFOU,HUEREGRA,2024-03-25
HUECKFOU,HUEREGRA,2024-04-22
HUECKFOU,HUEREGRA,2024-05-21
HUECKFOU,HUEREGRA,2024-06-17
HUECKFOU,HUEREGRA,2024-07-15
HUECKFOU,HUEREGRA,2024-08-12
HUECKFOU,HUEREGRA,2024-09-09
HUECKFOU,HUEREGRA,2024-10-07
HUECKFOU,HUEREGRA,2024-11-04
HUECKFOU,HUEREGRA,2024-12-02
HUECKFOU,HUEREGRA,2024-12-30

HUECKFIV,HUEREGRA,2024-01-02
HUECKFIV,HUEREGRA,2024-01-29
HUECKFIV,HUEREGRA,2024-02-26
HUECKFIV,HUEREGRA,2024-03-25
HUECKFIV,HUEREGRA,2024-04-22
HUECKFIV,HUEREGRA,2024-05-21
HUECKFIV,HUEREGRA,2024-06-17
HUECKFIV,HUEREGRA,2024-07-15
HUECKFIV,HUEREGRA,2024-08-12
HUECKFIV,HUEREGRA,2024-09-09
HUECKFIV,HUEREGRA,2024-10-07
HUECKFIV,HUEREGRA,2024-11-04
HUECKFIV,HUEREGRA,2024-12-02
HUECKFIV,HUEREGRA,2024-12-30

HUECKSIX,HUEREGRA,2024-01-02
HUECKSIX,HUEREGRA,2024-01-29
HUECKSIX,HUEREGRA,2024-02-26
HUECKSIX,HUEREGRA,2024-03-25
HUECKSIX,HUEREGRA,2024-04-22
HUECKSIX,HUEREGRA,2024-05-21
HUECKSIX,HUEREGRA,2024-06-17
HUECKSIX,HUEREGRA,2024-07-15
HUECKSIX,HUEREGRA,2024-08-12
HUECKSIX,HUEREGRA,2024-09-09
HUECKSIX,HUEREGRA,2024-10-07
