liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date

HUETWO,HUEGRA,2024-01-02
HUETWO,HUEGRA,2024-01-29
HUETWO,HUEGRA,2024-02-26
HUETWO,HUEGRA,2024-03-25
HUETWO,HUEGRA,2024-04-22
HUETWO,HUEGRA,2024-05-21
HUETWO,HUEGRA,2024-06-17
HUETWO,HUEGRA,2024-07-15
HUETWO,HUEGRA,2024-08-12
HUETWO,HUEGRA,2024-09-09
HUETWO,HUEGRA,2024-10-07
HUETWO,HUEGRA,2024-11-04
HUETWO,HUEGRA,2024-12-02
HUETWO,HUEGRA,2024-12-30

HUEONE,HUEGRA,2024-01-02
HUEONE,HUEGRA,2024-01-29
HUEONE,HUEGRA,2024-02-26
HUEONE,HUEGRA,2024-03-25
HUEONE,HUEGRA,2024-04-22
HUEONE,HUEGRA,2024-05-21
HUEONE,HUEGRA,2024-06-17
HUEONE,HUEGRA,2024-07-15
HUEONE,HUEGRA,2024-08-12
HUEONE,HUEGRA,2024-09-09
HUEONE,HUEGRA,2024-10-07
HUEONE,HUEGRA,2024-11-04
HUEONE,HUEGRA,2024-12-02
HUEONE,HUEGRA,2024-12-30

HUETHR,HUEGRA,2024-01-02
HUETHR,HUEGRA,2024-01-29
HUETHR,HUEGRA,2024-02-26
HUETHR,HUEGRA,2024-03-25
HUETHR,HUEGRA,2024-04-22
HUETHR,HUEGRA,2024-05-21
HUETHR,HUEGRA,2024-06-17
HUETHR,HUEGRA,2024-07-15
HUETHR,HUEGRA,2024-08-12
HUETHR,HUEGRA,2024-09-09
HUETHR,HUEGRA,2024-10-07
HUETHR,HUEGRA,2024-11-04
HUETHR,HUEGRA,2024-12-02
HUETHR,HUEGRA,2024-12-30

HUEFOU,HUEGRA,2024-01-02
HUEFOU,HUEGRA,2024-01-29
HUEFOU,HUEGRA,2024-02-26
HUEFOU,HUEGRA,2024-03-25
HUEFOU,HUEGRA,2024-04-22
HUEFOU,HUEGRA,2024-05-21
HUEFOU,HUEGRA,2024-06-17
HUEFOU,HUEGRA,2024-07-15
HUEFOU,HUEGRA,2024-08-12
HUEFOU,HUEGRA,2024-09-09
HUEFOU,HUEGRA,2024-10-07
HUEFOU,HUEGRA,2024-11-04
HUEFOU,HUEGRA,2024-12-02
HUEFOU,HUEGRA,2024-12-30

HUEFIV,HUEGRA,2024-01-02
HUEFIV,HUEGRA,2024-01-29
HUEFIV,HUEGRA,2024-02-26
HUEFIV,HUEGRA,2024-03-25
HUEFIV,HUEGRA,2024-04-22
HUEFIV,HUEGRA,2024-05-21
HUEFIV,HUEGRA,2024-06-17
HUEFIV,HUEGRA,2024-07-15
HUEFIV,HUEGRA,2024-08-12
HUEFIV,HUEGRA,2024-09-09
HUEFIV,HUEGRA,2024-10-07
HUEFIV,HUEGRA,2024-11-04
HUEFIV,HUEGRA,2024-12-02
HUEFIV,HUEGRA,2024-12-30

HUESIX,HUEGRA,2024-01-02
HUESIX,HUEGRA,2024-01-29
HUESIX,HUEGRA,2024-02-26
HUESIX,HUEGRA,2024-03-25
HUESIX,HUEGRA,2024-04-22
HUESIX,HUEGRA,2024-05-21
HUESIX,HUEGRA,2024-06-17
HUESIX,HUEGRA,2024-07-15
HUESIX,HUEGRA,2024-08-12
HUESIX,HUEGRA,2024-09-09
HUESIX,HUEGRA,2024-10-07
HUESIX,HUEGRA,2024-11-04
HUESIX,HUEGRA,2024-12-02
HUESIX,HUEGRA,2024-12-30

HUEONE,HUERED,2024-01-01
HUEONE,HUERED,2024-01-29
HUEONE,HUERED,2024-01-15
HUEONE,HUERED,2024-02-13
HUEONE,HUERED,2024-03-11
HUEONE,HUERED,2024-04-08
HUEONE,HUERED,2024-05-06
HUEONE,HUERED,2024-06-03
HUEONE,HUERED,2024-07-01
HUEONE,HUERED,2024-07-29
HUEONE,HUERED,2024-08-26
HUEONE,HUERED,2024-09-23
HUEONE,HUERED,2024-10-21
HUEONE,HUERED,2024-11-18
HUEONE,HUERED,2024-12-16

HUETWO,HUERED,2024-01-01
HUETWO,HUERED,2024-01-29
HUETWO,HUERED,2024-01-15
HUETWO,HUERED,2024-02-13
HUETWO,HUERED,2024-03-11
HUETWO,HUERED,2024-04-08
HUETWO,HUERED,2024-05-06
HUETWO,HUERED,2024-06-03
HUETWO,HUERED,2024-07-01
HUETWO,HUERED,2024-07-29
HUETWO,HUERED,2024-08-26
HUETWO,HUERED,2024-09-23
HUETWO,HUERED,2024-10-21
HUETWO,HUERED,2024-11-18
HUETWO,HUERED,2024-12-16

HUETHR,HUERED,2024-01-01
HUETHR,HUERED,2024-01-29
HUETHR,HUERED,2024-01-15
HUETHR,HUERED,2024-02-13
HUETHR,HUERED,2024-03-11
HUETHR,HUERED,2024-04-08
HUETHR,HUERED,2024-05-06
HUETHR,HUERED,2024-06-03
HUETHR,HUERED,2024-07-01
HUETHR,HUERED,2024-07-29
HUETHR,HUERED,2024-08-26
HUETHR,HUERED,2024-09-23
HUETHR,HUERED,2024-10-21
HUETHR,HUERED,2024-11-18
HUETHR,HUERED,2024-12-16

HUEFOU,HUERED,2024-01-01
HUEFOU,HUERED,2024-01-29
HUEFOU,HUERED,2024-01-15
HUEFOU,HUERED,2024-02-13
HUEFOU,HUERED,2024-03-11
HUEFOU,HUERED,2024-04-08
HUEFOU,HUERED,2024-05-06
HUEFOU,HUERED,2024-06-03
HUEFOU,HUERED,2024-07-01
HUEFOU,HUERED,2024-07-29
HUEFOU,HUERED,2024-08-26
HUEFOU,HUERED,2024-09-23
HUEFOU,HUERED,2024-10-21
HUEFOU,HUERED,2024-11-18
HUEFOU,HUERED,2024-12-16

HUEFIV,HUERED,2024-01-01
